id,Temperature,Humidity
1,23.18,27.272
2,23.15,27.2675
3,23.15,27.245
4,23.15,27.2
5,23.1,27.2
6,23.1,27.2
7,23.1,27.2
8,23.1,27.2
9,23.1,27.2
10,23.075,27.175
11,23.075,27.15
12,23.1,27.1
13,23.1,27.16666667
14,23.05,27.15
15,23,27.125
16,23,27.125
17,23,27.2
18,22.945,27.29
19,22.945,27.39
20,22.89,27.39
21,22.89,27.39
22,22.89,27.39
23,22.89,27.445
24,22.89,27.5
25,22.89,27.5
26,22.79,27.445
27,22.79,27.5
28,22.79,27.5
29,22.79,27.5
30,22.745,27.5
31,22.7,27.46333333
32,22.7,27.5
33,22.7,27.5
34,22.66666667,27.42666667
35,22.7,27.6
36,22.6,27.42666667
37,22.6,27.39
38,22.6,27.35666667
39,22.6,27.445
40,22.6,27.42666667
41,22.6,27.445
42,22.6,27.445
43,22.6,27.39
44,22.5,27.32333333
45,22.5,27.445
46,22.5,27.5
47,22.5,27.445
48,22.39,27.29
49,22.5,27.5
50,22.39,27.34
51,22.39,27.35666667
52,22.39,27.5
53,22.39,27.5
54,22.39,27.5
55,22.39,27.39
56,22.39,27.5
57,22.34,27.39
58,22.39,27.46333333
59,22.39,27.39
60,22.29,27.39
61,22.34,27.39
62,22.29,27.39
63,22.39,27.39
64,22.29,27.39
65,22.29,27.35666667
66,22.29,27.34
67,22.29,27.39
68,22.29,27.34
69,22.29,27.34
70,22.29,27.39
71,22.29,27.29
72,22.29,27.29
73,22.2675,27.315
74,22.2,27.29
75,22.245,27.29
76,22.2,27.29
77,22.2,27.29
78,22.2,27.29
79,22.245,27.245
80,22.2,27.2
81,22.2,27.29
82,22.2,27.29
83,22.2,27.29
84,22.15,27.245
85,22.2,27.2
86,22.15,27.245
87,22.2,27.245
88,22.1,27.245
89,22.1,27.2
90,22.13333333,27.2
91,22.2,27.2
92,22.1,27.2
93,22.125,27.2
94,22.2,27.2
95,22.1,27.15
96,22.1,27.2
97,22.1,27.2
98,22.1,27.2
99,22.1,27.2
100,22.1,27.2
101,22.1,27.2
102,22.1,27.2
103,22.1,27.2
104,22.1,27.15
105,22.06666667,27.16666667
106,22.1,27.1
107,22,27.1
108,22,27.1
109,22.05,27.15
110,22,27.1
111,22,27.1
112,22,27.1
113,22,27.1
114,21.9175,27.1
115,21.945,27.1
116,21.92666667,27.1
117,21.89,27.1
118,21.89,27.1
119,21.89,27.1
120,21.89,27.1
121,21.89,27.1
122,21.89,27.1
123,21.89,27.1
124,21.89,27.1
125,21.89,27.1
126,21.84,27.1
127,21.85666667,27.1
128,21.79,27.1
129,21.79,27.1
130,21.79,27.1
131,21.79,27.1
132,21.79,27.1
133,21.79,27.1
134,21.79,27.1
135,21.79,27.1
136,21.745,27.1
137,21.7,27.1
138,21.76,27.1
139,21.745,27.05
140,21.79,27.05
141,21.73,27
142,21.745,27
143,21.745,27
144,21.745,27
145,21.7,27
146,21.7,27
147,21.7,27
148,21.7,26.89
149,21.7,26.89
150,21.7,26.89
151,21.7,26.89
152,21.7,26.89
153,21.7,26.89
154,21.7,26.89
155,21.7,26.89
156,21.7,26.79
157,21.7,26.79
158,21.7,26.79
159,21.7,26.79
160,21.7,26.7675
161,21.7,26.79
162,21.7,26.79
163,21.7,26.79
164,21.7,26.7
165,21.7,26.7
166,21.7,26.7
167,21.6,26.7
168,21.6,26.6
169,21.6,26.65
170,21.6,26.6
171,21.65,26.65
172,21.6,26.55
173,21.6,26.5
174,21.6,26.5
175,21.6,26.5
176,21.6,26.5
177,21.65,26.55
178,21.6,26.5
179,21.6,26.445
180,21.6,26.4725
181,21.6,26.445
182,21.6,26.445
183,21.6,26.39
184,21.6,26.39
185,21.6,26.39
186,21.6,26.39
187,21.6,26.39
188,21.575,26.315
189,21.6,26.29
